Applicant,LocationDescription,Address,Latitude,Longitude
"Halal Cart, LLC",MARKET ST: BATTERY ST to SUTTER ST (540 - 558) -- NORTH --,532 MARKET ST,37.7905483181832,-122.400333673679
"Halal Cart, LLC",MARKET ST: FREMONT ST \ FRONT ST to 01ST ST \ BUSH ST (401 - 499) -- SOUTH --,1 FRONT ST,37.7917572059444,-122.398897636892
May Catering,04TH ST: CHINA BASIN ST to MISSION BAY BLVD (1300 - 1399),1322 04TH ST,37.7638707601661,-122.460600563879
May Catering,MINNESOTA ST: 20TH ST to 22ND ST (800 - 999),900 MINNESOTA ST,0,0
M M Catering,ILLINOIS ST: 24TH ST to 25TH ST (1400 - 1499),1499 ILLINOIS ST,37.7530403201943,-122.386631763538
Sanguchon,CALIFORNIA ST: LEIDESDORFF ST to MONTGOMERY ST (449 - 499),475 CALIFORNIA ST,37.792346385148,-122.402385322794
Munch India,CALIFORNIA ST: SANSOME ST to LEIDESDORFF ST (400 - 448),400 CALIFORNIA ST,37.793304275561,-122.401458998413
May Catering,BERRY ST: 05TH ST to 06TH ST (300 - 399),301 BERRY ST,37.7743376663696,-122.394053286313
May Catering,HARRISON ST: 17TH ST to MARIPOSA ST (2050 - 2149),2130 HARRISON ST,37.7628149532289,-122.413211513673
May Catering,HARRISON ST: MARIPOSA ST to 18TH ST (2150 - 2198),2150 HARRISON ST,0,0
"Covered Dish Productions, LLC. dba. The Rib Whip",STEUART ST: HOWARD ST to END (200 - 299),75 HOWARD ST,37.7915578641549,-122.391671499786
May Catering,WISCONSIN ST: 16TH ST to 17TH ST (100 - 199),166 WISCONSIN ST,37.7654338684827,-122.400198205294
